,username,tweet,date,name,creation,followers,following
100,noughe911,"J’ai supprimé mon post sur la dépression parce que y’a toutes les umm et les bint 
Qui ont voulu attraper mon col 
SANS OUBLIER LES ABU alors eux mdr",Mon Oct 20 15:39:56 +0000 2025,✨,Mon Oct 26 17:23:39 +0000 2020,641,750
101,akhyovs,"L’exception ne fait pas la règle.

Ce n’est pas parce qu’une personne réussit à s’en sortir malgré les épreuves que cela signifie que tout le monde peut en faire de même. Vous ne vous rendez même pas compte de vos propos.

Il y a des personnes qui tombent en dépression parce qu’Allah leur a donné une épreuve.

D’autres sombrent parce qu’ils ont commis des péchés et qu’Allah les a punis. En parallèle l'épreuve leur permettra de se rapprocher d'Allah et d'arrêter le péché en question.

D’autres encore parce qu’ils ont perdu des proches.

D’autres sombrent dans la dépression parce qu’ils n’ont pas obtenu ce qu’ils voulaient ou parce qu’ils se sont rendu compte que telle chose n’était pas fait pour eux ou que ce n’était pas la bonne personne. Que ce soit dans leurs études, leur mariage, leur fréquentation, leur commerce ou leur travail.

La liste est longue.

Et l'épreuve est un moyen de se rapprocher d'Allah.

Il y a un grand nombre de personnes en dépression.

Et il ne faut pas fermer les yeux sur le nombre de tentatives de suicide, voire de suicides même parmi les musulmans, alors que le suicide est strictement interdit en Islam.

« Et ne vous tuez pas vous-mêmes. Allah, en vérité, est Miséricordieux envers vous. Et quiconque commet cela, par excès et par iniquité, Nous le jetterons au Feu, voilà qui est facile pour Allah. »

Sourate 4 - Verset 29 - 30

Il y a des personnes qui ne prient plus parce qu’elles n’y arrivent plus. Elles n’ont plus la force de sortir de leur lit, ni même parfois de manger, etc.

Cela peut-être très blessant d’entendre certains parler avec légèreté de la dépression. Ce genre de propos peut heurter des personnes déjà fragiles.

La prière est très importante, oui, mais ce n’est pas la seule chose à faire. Sortir de la dépression, c’est un processus qui demande plusieurs causes :

Se confier à Allah sincèrement dans les moments de faiblesse.

Parler à ses proches, pour ne pas rester isolé.

Consulter un(e) psychologue.

Apprendre sa religion, pour comprendre le sens des épreuves et d'une manière générale la religion.

Multiplier les invocations, car Allah est Celui qui guérit les cœurs.

Chacun a son rythme, chacun a son degré d’acceptation et chacun son propre chemin vers la guérison.",Mon Oct 20 15:31:30 +0000 2025,ي,Mon Feb 19 05:56:25 +0000 2024,294,0
102,Eirn92071,"Je ne suis pas en dépression la famille,  j’aime juste les musiques dépressives",Mon Oct 20 15:30:14 +0000 2025,нино,Tue Sep 09 14:52:15 +0000 2025,71,109
103,Julessbulle,@mouiengros @candieelm spoiler : tu défends ton cas en faisant croire que ta dépression t’empêche de prendre une douche alors que t’es juste une grosse crado,Mon Oct 20 15:29:26 +0000 2025,auuskzi,Thu Oct 29 13:39:29 +0000 2020,275,749
104,lamarsweb,"🎙️Le pédopsychiatre Marcel Rufo s’inquiète de l’augmentation de l’anxiété et de la dépression chez les #jeunes.

#SanteMentale 
https://t.co/hJ0WYAq6D4",Mon Oct 20 15:27:00 +0000 2025,La Marseillaise,Tue Sep 21 10:12:22 +0000 2010,50610,475
105,U2Londre,@Minskow_ @Ariel1X229 @Mr_Flinde Réfléchis c’est à cause du monde que cela c’est reproduire dehors surtout que c’était 3 fois plus grand que l’intérieur mais votre dépression vous empêche de réfléchir 🤣🤣🤣 c pas la peine inh,Mon Oct 20 15:24:39 +0000 2025,ange gardien,Mon May 11 13:35:00 +0000 2015,78,502
106,zxdvne,Dépression à vie,Mon Oct 20 15:24:36 +0000 2025,©️La Paix,Tue Aug 07 16:24:02 +0000 2018,4350,174
107,nggannou,"@GueshCtrl Elle est en dépression parce que des gens ne clic pas sur son live et ne lui envoie pas d'argent , pendant qu a 5h des daron sont à la gare pour aller taffer et gange moins de 1600 euro par mois",Mon Oct 20 15:22:00 +0000 2025,M8 Tankï,Tue Dec 28 17:50:04 +0000 2021,24,347
108,Imperator75252,"@lesingedarwin Excellent travail mon Snoopy, vas suivre l'échange de renseignements entre Revenu Québec et Canada avec un autre relevé de cotisations et la fermeture de Radio Québec. Prochaine étape, K7 en dépression avec accentuation de son délire psychotique, camisole de force et internement!",Mon Oct 20 15:21:35 +0000 2025,Marcus Imperator ✝️⚜️,Sat Dec 23 23:21:02 +0000 2023,189,348
109,NCollerais,@aallicheoff Oui les modèles voient de plus en plus cette dépression secondaire exploser et ce creuser sur nous.,Mon Oct 20 15:17:47 +0000 2025,Noel Collerais,Mon Sep 06 20:28:11 +0000 2021,31,123
110,__Sebe__,"@Zemicmic @444slash_lol @dealerdeNFT @Tybzerr @RacloLivreur @Aloonea_ Non, mais il a dit que des propos avaient été vérifiés, ils venaient de quelqu'un réputé pour mentir, ça a briser des vie, incluant un suicide

Sinon t'as aussi le mec de balanceTonPorc, accusé a tort pour ""lancer meToo en France"", renier par sa famille, dépression, seul sa fille",Mon Oct 20 15:15:04 +0000 2025,Sebe,Fri Sep 07 20:35:16 +0000 2012,114,269
111,lafilleseuIe,il l’a pris parce que sur la description c’était écrit pour dépression et insomnie hahahhahahahahha,Mon Oct 20 15:14:08 +0000 2025,"too much rain, still no flowers",Mon May 10 23:02:50 +0000 2021,167,88
112,Captain_Umi,"@harukiisaan @flexonthefluxxx Spécifiquement dans le cas de KnB pour moi c'est juste que les thèmes que le manga aborde (le génie, la dépression, la pression sociale, la rivalité) m'ont permis de mieux comprendre mon environnement et d'accepter des facettes de ma personnalité un peu délaissées",Mon Oct 20 15:10:48 +0000 2025,Captain Umi 🇨🇵 | FAN N°1 DE NIKOLA TESLA,Sun Sep 04 19:17:00 +0000 2022,1051,619
113,ilsappelnoupi,C’est quand tu sors de ta dépression que tu capte que tétais en dépression mdrrr c’est vraiment une folie ce truc,Mon Oct 20 15:10:40 +0000 2025,OCB ⵣ,Wed Jan 05 12:31:32 +0000 2022,1183,728
114,fmmcelsm,estce que la depression ca tue sans suicide jai vraiment limpression que mon corps va me lacher,Mon Oct 20 15:09:18 +0000 2025,noa!!,Mon Nov 04 15:17:41 +0000 2019,641,296
115,Sacha_sacha87,"@Realuv8 Mes cheveux,ma dépression,mon argent,mon cambriolage
Je quitte ma prison doré pour tout oublié🤭 
Je pense comme toi elle ce justifie car beaucoup on du lui dire paye tes facture et tu verra après ta semaine sur paris
Caliméro Pinocchio ces priorités fuir et ramasser du liquide",Mon Oct 20 15:07:26 +0000 2025,Sacha Garnier,Thu Feb 09 23:32:15 +0000 2023,35,54
116,rizzo922ll,On est épuisé. La salat est une obligation et non un traitement. La dépression est une VÉRITABLE maladie. Certes il ne faut pas abandonner sa prière mais il faut également traiter la maladie avec psy/traitement/aide sociale/etc.,Mon Oct 20 15:07:07 +0000 2025,tieunban🩷,Mon May 25 21:24:09 +0000 2020,424,352
117,CrisisGroup,"🎧 Nouvel épisode de notre podcast Afrique 360°. @RinaldoD1, @Lieslvaudran et la chercheuse Emmanuelle Veuillet discutent des répercussions de la guerre au Soudan sur l’économie du Soudan du Sud, en particulier sur ses revenus pétroliers.

https://t.co/Qs4CoBp2C3",Mon Oct 20 15:05:12 +0000 2025,Crisis Group,Mon Dec 08 16:16:00 +0000 2008,233250,2667
118,spicy4riez,@NRJhitmusiconly pitié invitez moi le 31 c’est pour soigner ma dépression 😔,Mon Oct 20 15:03:30 +0000 2025,teerak,Mon Aug 18 14:17:52 +0000 2014,389,246
119,Mamadoo_Niang,@soxnajaara_m Ah vraiment c’est léger comme source de dépression…surtout pour un africain avec tout ce qui se passe dans notre environnement,Mon Oct 20 15:02:30 +0000 2025,BOUBA,Wed Dec 10 20:31:41 +0000 2014,58,140
120,nikitasubutex,"@Rico_the_Coco moi cetait surtout la folie des statistiques qui à l'air de s'emparer de tout influenceurs qui buzz, meme les youtubeurs disent que cest compliqué de pas regarder ses stats tous les jours et de pas etre en depression quand ça baisse psychologiquement cest interessant",Mon Oct 20 14:59:25 +0000 2025,Marat,Sat Nov 21 23:40:57 +0000 2015,120,270
121,AllaguyAndre,"Ce pseudo prix Nobel d'économie a l'air plus fou et psychopathe que Macron le péripatéticien de la haute finance, le mondialo-maoïste, Macron qui a avoué une grave dépression en 2022 mais n'a jamais retrouvé la raison: pas de certificat médical de l'Elysée de fin de dépression",Mon Oct 20 14:57:24 +0000 2025,ANDRE ALLAGUY,Mon May 15 06:11:09 +0000 2023,174,245
122,Realuv8,"Vous voyez comment #poupettekenza se justifie ? Ça veut dire qu’elle reçoit plein de DM de ses poupettes critiquant sa réaction d’enfant pourrie gâtée. D’ailleurs elle a vite retiré les commentaires sous ses story. « Mes cheveux, ma dépression, mes cheveux, ma dépression… »",Mon Oct 20 14:56:47 +0000 2025,Realuv,Tue Jan 31 21:27:37 +0000 2023,215,165
123,72wayda,Mélange de dépression post partum et de phase maniaque à mon humble avis,Mon Oct 20 14:55:28 +0000 2025,Mariah❄️MVP,Mon May 16 09:31:56 +0000 2022,1623,738
124,Burton06Jack,"@GaccioB Y a un p'tit délai administratif entre son cinéma raison de santé/dépression etc et le moment ou il va twerker en place public comme Balkany .

Je dirais 3 semaines.",Mon Oct 20 14:54:28 +0000 2025,JackBurton06,Sun Apr 25 00:07:15 +0000 2021,116,167
125,oussamadetp27,"@Kulturlesite_ Mais c’est quoi cette merde comment cette merde peut être certifiée single de diamant ? C’est impossible parce que dedans il y a que de la merde il y a que de la merde y a que de la merde y’a que de la merde 💩 PNL, c’est que de la merde rempli de dépression",Mon Oct 20 14:54:01 +0000 2025,D’or et de Platine,Tue Jun 13 02:38:07 +0000 2023,859,7501
126,Mocro921,"@hichembkhh le nombre de sportifs en dépression que j’ai connu
que Dieu les facilite c’est vraiment pas facile le retour à la réalité",Mon Oct 20 14:53:34 +0000 2025,Snow ❄️,Mon Jan 04 21:23:47 +0000 2021,82,124
127,Trans2BibLocale,"@antipatriarcame J'ai toujours vécu dans le sud, dès qu'il pleut ma dépression grimpe en flèche 💀",Mon Oct 20 14:53:06 +0000 2025,folie génétique ✌️,Thu Nov 01 15:27:34 +0000 2018,248,176
128,pro_chomeuse,"@YannP42 @sunlikecat @ArnaultRaphael Ben oui la photo est degueulasse ??? T’es a contre jour on dirait les selfi tar 2016 
T’as pas d’emote on dirait que t’es en dépression",Mon Oct 20 14:50:37 +0000 2025,YogourtAuFruit,Sun Jan 19 01:03:31 +0000 2025,671,86
129,Zamzoumaxx,Ce soir c'est soit la fiesta soit la dépression y'a pas d'entre deux #JOBLIFE,Mon Oct 20 14:48:49 +0000 2025,Joblife Zamzoumaxx 🇲🇦🫀,Sat Feb 15 12:25:52 +0000 2020,155,845
130,StephyB39775,@benyoussef1X Tu demandes pardon au nom de qui ?? Le dg de YouTube a deja fait 3 disstrack c’est passé inaperçu. 🤣il est plutôt en depression,Mon Oct 20 14:41:38 +0000 2025,rockstar gang 🚀 (stephybazaroff)🌹,Sat Aug 09 00:11:57 +0000 2025,41,338
131,Huryaa_,@nanahime08 La dépression est une maladie la salât ne suffit pas,Mon Oct 20 14:40:57 +0000 2025,Hatred breeds hatred,Wed Nov 29 23:59:52 +0000 2023,710,778
132,BasilePradier,@CallMeMargin_ @vincentflorin Pour déjà estimer si tu fais une authentique dépression.,Mon Oct 20 14:40:26 +0000 2025,Pradier Basile,Thu Sep 23 11:36:17 +0000 2021,18,345
133,John_English_Of,@ScottyReddy Non. La seule aide qu'un ami pour fournir face a une personne en dépression c'est d'être présent et de l'accompagner en consultation psy. Le reste ne sert a rien.,Mon Oct 20 14:40:10 +0000 2025,John English,Wed Feb 21 10:40:37 +0000 2018,58,585
134,Thomasfinck7,"@Bouchizor @RacloLivreur @Aloonea_ T’es au courant que ça peut aller bcp plus loin que ça mdr ?ce genre de truc peut te briser mentalement, te faire sombrer dans la dépression voir pire, tu peux perdre ton entourage, te faire harceler, mais ta raison il va juste changer de job, c’est fou d’être attardé a ce point",Mon Oct 20 14:39:45 +0000 2025,Thomas finck,Fri Feb 11 17:15:47 +0000 2022,12,61
135,skvuuuuurt,🤣🤣🤣🤣 ya pas sherpa pour te porter hein ptit nullos ( jsuis a 10 défaite de suite la dépression me guette ),Mon Oct 20 14:38:27 +0000 2025,skila,Mon Oct 23 13:20:41 +0000 2023,184,297
136,MeteoPedagogie,"En Amérique du Sud, c'est le printemps, et comme en Amérique du Nord, le réveil des contrastes : des dépressions remontent d'Antarctique et entrent en contact avec l'air chaud présent plus au Nord. Voici une  modélisation de dépression active pour le 27 octobre https://t.co/CC57TvPPWj",Mon Oct 20 14:37:50 +0000 2025,Météo Pédagogie,Sat Jul 21 09:30:11 +0000 2018,5631,142
137,StephyB39775,@suspect_95 Tu souffre 😭🤣🤣tu frises la dépression,Mon Oct 20 14:36:58 +0000 2025,rockstar gang 🚀 (stephybazaroff)🌹,Sat Aug 09 00:11:57 +0000 2025,41,338
138,Papyfab,"Faut arrêter de croire que la dépression on s en sort comme ca, c est un monstre qui s installe, te contrôle et t empeche d avancer,  de relever la tête.",Mon Oct 20 14:36:17 +0000 2025,fafou,Fri Feb 26 12:35:30 +0000 2010,293,296
139,sam_45086,@sn_blck23 @suspect_95 Lolllll qu’au dépression il s’était juste retirer il a fait son palais en ce moment les bêtises qu’il faisait prenait au temps ou les Lilo racontaient les conneries sa prenait maintenant on veut qu’il fasse Epuis ça va Pop on va voir tout le monde est dedja maintenant,Mon Oct 20 14:33:54 +0000 2025,Sam🇨🇮🚀🖖🏾,Thu Aug 01 20:51:23 +0000 2024,234,527
140,KcHeartbreak,@ali_herizi @fugu_fps J'allais te dire d'aller consulter mais un cas comme toi foutrait la psychiatre en dépression,Mon Oct 20 14:33:50 +0000 2025,KC HeartBreak - DOFGK 🇨🇵🍉,Thu Apr 15 08:08:23 +0000 2021,22,174
141,sergeghomsi,"@jessicanono1 Dans un tiktok, les dirigeants du parti avaient déclaré  préfèrer coaliser avec le RDPC qu'avec le MRC. 

Je pense aussi qu'ils sont en dépression psychologique, après avoir vu que Tchiroma ait été préféré à Libii, alors qu'ils se voyaient 2e après l'exclusion du MRC.",Mon Oct 20 14:31:43 +0000 2025,Serge Ghomsi 🇨🇲 🇸🇳,Sat Oct 22 08:51:24 +0000 2011,279,1204
142,sn_blck23,@sam_45086 @suspect_95 Mdr le premier à avoir rempli le palais et si c’était pas dépression ça aurait été le premier pour le parc,Mon Oct 20 14:30:17 +0000 2025,SN🏴‍☠️⚔️,Wed Sep 11 07:14:29 +0000 2024,107,83
143,unnknownnnbitch,"Y’a des situations dans la vie où le besoin d’aide ou d’attention n’est pas à quémander normalement. 
Ex : avortement, 💜, agression, perte d’emploi, dépression, perte d’un être cher, séparation, accouchement … 
Si ça arrive à qqun de votre entourage soyez là pour cette personne",Mon Oct 20 14:30:12 +0000 2025,🍏Pikachoux🐍,Sun Aug 03 15:09:20 +0000 2014,647,441
144,MeteoPedagogie,"Nous noterons de bonnes rafales de vent proches de cette dépression sur tout le Nord-Ouest #France avec des valeurs autour de 60-70 km/h, mais parfois jusqu'à 80-90 km/h, notamment à La Hague et Ouessant https://t.co/nULBfF9HTv",Mon Oct 20 14:24:07 +0000 2025,Météo Pédagogie,Sat Jul 21 09:30:11 +0000 2018,5631,142
145,jhn7893,Snap bug depuis ce matin c’est la dépression,Mon Oct 20 14:19:01 +0000 2025,Jihene,Mon Oct 21 22:44:19 +0000 2019,61,56
146,je_men_fou225,@BESTPUNCHLINE_ Rappeur viande de brousse 😂😂 Drisstrack psychologique si ça sors Didi sera en dépression,Mon Oct 20 14:18:51 +0000 2025,je.men.fou225.officiel,Fri May 17 11:39:37 +0000 2019,139,196
147,syxxsam,"Ce que je viens de vivre devant cette œuvre WOW.

Comme je l’ai dit sur Letterboxd (lien dans la bio), je crois que c’est un remède contre la dépression et ça fait sens quand on connaît la vie de Akira Kurosawa avant sa mort. https://t.co/aY4xY1bfXi",Mon Oct 20 14:18:45 +0000 2025,プロレスラバー sam,Wed Jul 03 00:32:34 +0000 2019,475,280
148,goatesque,"T'es pas tombée en dépression à cause d'elle, t'était déjà fragile 

Et ya que avec la dépression que les gens ont cette réflexion 

Étrangement, personne ne devient schizophrène en traînant avec un schizophrène",Mon Oct 20 14:18:25 +0000 2025,G 🦁,Thu Oct 26 18:14:35 +0000 2023,354,614
149,krxvne99,Quand vs allez découvrir ce que c’est vrm la dépression vs allez baver,Mon Oct 20 14:18:18 +0000 2025,SEXY TURBO SPEED 🕸️🏴,Wed Oct 18 17:52:55 +0000 2023,67,243
150,berskin_,"@Depression_mal Merci, j’y penserai 🌸",Mon Oct 20 14:17:01 +0000 2025,Bérénice,Thu Dec 23 21:02:31 +0000 2021,541,51
151,Sosow78a,@hawn_iee Comment tu peux etre en depression alors que @RebeuDeter a fait pire,Mon Oct 20 14:16:06 +0000 2025,Sosow🇵🇸,Thu Dec 03 10:58:06 +0000 2020,21,31
152,berskin_,@Depression_mal Merci ❤️‍🩹juste besoin d’avoir davantage de réponses,Mon Oct 20 14:15:37 +0000 2025,Bérénice,Thu Dec 23 21:02:31 +0000 2021,541,51
153,KARATE_CHIN2IS,"@M4nuIeBlanc0 Tu m'étonnes on a tous les fils de pute fan de pokemon et qui font pas d'enfants à 35 ans, on a un adulescent en dépression et quête identitaire à la tête du pays",Mon Oct 20 14:15:36 +0000 2025,"Tom Matthews, Garçon Joueur",Sat Jul 09 18:15:59 +0000 2022,655,684
154,Keireifu,@GueshCtrl @karfiri Bande de fdp à utiliser des mots dont vous connaissez pas la définition en plus de parler de depression alors qu’elle a aucun diagnostic mdrr va te faire bz,Mon Oct 20 14:13:01 +0000 2025,Country Cluhhh 🎧,Sun Apr 03 12:23:49 +0000 2022,13,48
155,crxbtc,"@Jibril5554461 @LovelyLilTyrant @TowaYowaIowa moi je pense que le plus gros impact dans sa dépression c'est l'immigration incontrôlée qui a induit le meurtre de sa fille , la cause des symptômes , les médias sont juste la pour faire leur sale boulot , autant rien leur donner a manger, mais le mal est fait",Mon Oct 20 14:11:41 +0000 2025,Cosmo🇫🇷,Tue Jun 11 14:12:37 +0000 2024,734,680
156,meteofrance,"🌧️ La #pluie et le vent touchent la France cette première semaine des vacances de la Toussaint. 🎃

⚠️ Prudence jeudi : une dépression pourrait gagner le Nord, avec un risque de pluies soutenues et de vent très fort.

Le point complet 👉 https://t.co/aMBjy9ygvE

📸 Landunvez, 29 https://t.co/rJFbwKJ42t",Mon Oct 20 14:11:25 +0000 2025,Météo-France,Tue Aug 14 08:33:02 +0000 2012,179214,1074
157,alix0205,Plus de 7h sans snap je vais commencer une dépression jai besoin de voir sa loc!!! #snapchat,Mon Oct 20 14:10:47 +0000 2025,Alix,Wed Oct 28 18:52:01 +0000 2020,3,32
158,hakuzuu_,"Je sais qu’être en dépression c’est dur mais vivre avec une personne en dépression c’est vraiment pas facile aussi, ça fait des mois que je suis lessivé mentalement",Mon Oct 20 14:09:00 +0000 2025,madi🧃,Thu Mar 21 21:17:32 +0000 2019,47,148
159,Jibril5554461,@crxbtc @LovelyLilTyrant @TowaYowaIowa Toute la journée à la télé tu voit des gens évoquer le nom de sa filles a des fins politiques. Tu crois que cela n’a pas eu un impact dans sa dépression ?,Mon Oct 20 14:06:46 +0000 2025,عَلِي,Sat Aug 10 21:58:17 +0000 2024,56,131
160,PabloNencini,"« Je ne le trouve pas en dépression, mais plutôt nostalgique » : Emmanuel Macron cherche (encore) sa place - Le Parisien https://t.co/vsL0ufWW3I",Mon Oct 20 14:05:19 +0000 2025,Philippe PROST,Wed May 03 20:30:49 +0000 2023,64,263
161,ClemAbstracted,@FreeYatie quand vous comprendrez que la dépression c’est pas une vanne ptdrrr bref,Mon Oct 20 14:05:15 +0000 2025,clem,Mon May 12 17:22:29 +0000 2025,232,271
162,vidia_violet,"Les gens comme ça je vous souhaite la dépression LA VRAI histoire de vous rendre humble, c’est hyper drainant et complexe",Mon Oct 20 14:02:14 +0000 2025,🩷,Wed May 26 19:58:47 +0000 2021,69,400
163,LSDJ_media,"Souffrir d'une dépression, d'un trouble psychotique, d'une addiction… et être sans emploi, sans vie sociale et même sans maison ? C'est parfois la double peine des personnes qui vivent une maladie mentale. Heureusement, les associations qui favorisent l'insertion existent et font un travail formidable. Ce 10 octobre, journée mondiale de la Santé mentale, est l'occasion de les mettre en lumière.
C'est l'histoire d'un serpent qui se mord la queue. La tête, c'est la maladie mentale, et la queue, la précarité. Ou l'inverse d'ailleurs, peu importe. Dans tous les cas, en se gardant de trop de généralités, on peut dire que les deux sont intimement liés. La maladie mentale peut provoquer la précarité si la personne n'est pas très accompagnée, quand la précarité nourrit la maladie mentale. Les acteurs sur le terrain, que ce soit pour l'engagement social ou la santé, le constatent chaque jour.

Les troubles de santé mentale chez les salariés représentent la première cause des arrêts de travail longue durée (selon le Baromètre Teale de la santé mentale des salariés, 2023) et le phénomène progresse chaque année. Dans un rapport de la HAS (Haute Autorité de Santé) daté de septembre 2021, on peut lire : « les troubles psychiques, et en particulier les troubles sévères tels que les psychoses, tendent à précariser les personnes en altérant leurs capacités relationnelles et sociales ; la précarité est source de souffrance et de stress et tend à fragiliser les personnes sur le plan psychique ». Cette constatation du lien entre santé mentale et précarité est corroborée par une étude souvent citée, l'étude SAMENTA (pour SAnté MENTale et Addictions chez les personnes sans logement personnel d'Île-de-France), menée par le Samu social en 2009. Elle montrait qu'un tiers des personnes vivant dans une précarité extrême souffraient de trouble anxieux sévère et de dépression, et que, dans cette même population, les troubles psychotiques (psychose, schizophrénie, délire psychotique) sont dix fois plus répandus que dans la population globale. Ce constat date de 2009, et les choses ne se sont malheureusement pas arrangées, puisque la précarité augmente en France : de 90 000 personnes sans domicile en 2001, on est passé à 140 000 en 2012, puis à 300 000 en 2020.

Vous avez lu 25 % de l'article.
➡️Retrouvez l'article complet en cliquant sur le lien dans la bio.

Sources : Haute Autorité de Santé, Habitat et Urbanisme, Ministère de la santé

#actu #maladie #mentale #stress #précarité",Mon Oct 20 14:01:22 +0000 2025,La Sélection du Jour (LSDJ),Mon Sep 18 13:59:53 +0000 2017,1579,1596
164,SHINICHI_Lovat,"J’ai beau être un homme, j’ai étais Helydia aussi. 

On m’a pas frappé certes, mais j’ai étais en couple avec un pervers narcissique, qui as détruit ma confiance en moi et m’a créer une magnifique 🌈 dépression 🌈

On te soutiens ma belle 🙏🏼",Mon Oct 20 13:55:37 +0000 2025,SHINICHI ⭐,Sat Nov 19 01:07:14 +0000 2022,398,772
165,imn922z,Chaque fois que je suis en dépression Jv marcher sur les champs comme une folle prendre l’air,Mon Oct 20 13:49:41 +0000 2025,IB ♛,Sat Sep 17 18:32:34 +0000 2022,594,97
166,Mesinrag,"dysphorie, anxiété sociale et timidité. la Triforce de ma dépression",Mon Oct 20 13:49:23 +0000 2025,Esin rag 👒🏴‍☠️☭,Sat Mar 30 22:24:09 +0000 2019,459,406
167,kindormad,@anazbay_bird C’est ça. J’ai voulu être là sans me rendre compte que j’étais pas stable mentalement déjà donc bah je vivais dans la peur constante qu’elle se foute en l’air et moi j’allais de moins en moins bien. Même si je le répète que ce n’est pas elle qui m’a mis en dépression hein,Mon Oct 20 13:47:15 +0000 2025,Abe 🍉,Thu May 08 20:41:43 +0000 2014,671,560
168,FoxxIsBack,@RedLysIs @Light_gcbv @ZibraxPV @natsu_bzh L'amitié c'est pas la tendresse imo sinon je serais ami avec n'importe quel random en dépression,Mon Oct 20 13:43:32 +0000 2025,Sweetie Foxx,Tue Oct 08 07:48:47 +0000 2024,527,200
169,hustlenothard,Average daronne maghrebine kan son enfant est en dépression,Mon Oct 20 13:43:31 +0000 2025,tt est noir iz ont voulu mtirer dans lfoond,Sat May 18 23:21:02 +0000 2024,57,64
170,hokagexdx,@timbdt02 @ZbnzOL Je vécu la meme situation avec mon ex elle m'as mis une claque pour me réveiller qd j'étais en voiture et qu'on m'as appris que ma mère étais a l'hôpital j'étais tellement en larmes et en dépression que je regardais meme pas la route puis si elle m'avait pas mis une claque,Mon Oct 20 13:43:14 +0000 2025,shisui xxdx,Mon Apr 26 18:45:32 +0000 2021,13,318
171,weirdbloom111,"@knightfae_ trouble du language, c’est le premier signe d’une dépression ou d’isolement généralement, mais ça doit avoir d’autres causes possible iguess prend soin de toi en tout cas 😗",Mon Oct 20 13:43:03 +0000 2025,bloomy ᯓᡣ𐭩,Wed Jan 29 23:08:27 +0000 2025,323,169
172,lagneauleloup,"@Pascal_Laurent_ J’ai une copine qui était magnifique,juste androgyne,avec un charme et succès fou avec les femmes.
Après cette opération effectuée,au prix de souffrances, les femmes qu’elle approchaient étaient déçues de promesses de découvrir un vrai mec…après dépression,elle s’est suicidée😢",Mon Oct 20 13:41:49 +0000 2025,lageauleloup,Sat Apr 26 08:42:23 +0000 2025,115,353
173,hokagexdx,@livgnz @miacallenreese Je vécu la meme situation avec mon ex elle m'as mis une claque pour me réveiller qd j'étais en voiture et qu'on m'as appris que ma mère étais a l'hôpital j'étais tellement en larmes et en dépression que je regardais meme pas la route puis si elle m'avait pas mis une claque,Mon Oct 20 13:41:29 +0000 2025,shisui xxdx,Mon Apr 26 18:45:32 +0000 2021,13,318
174,kindormad,@Baby_Princess_L On se rend pas compte de la charge mentale qu’on donne aux gens de notre entourage et le fait que OUI ça peut les faire basculer en dépression s’ils ne sont pas réellement stable psychologiquement.,Mon Oct 20 13:35:28 +0000 2025,Abe 🍉,Thu May 08 20:41:43 +0000 2014,671,560
175,Peguy_Certifie,"@ActuFoot_ 😂😂😂😂😂😂😂😂😂😂😂😂😂

LA DEPRESSION VA TUER CE GOSSE",Mon Oct 20 13:34:51 +0000 2025,💀 𝐌𝐑. 𝐓 𝐎 𝐍 𝐓 𝐈 𝐍 𝐄 🩸,Fri Oct 20 19:07:56 +0000 2017,42717,470
176,iwisxh,"Vous voyez ça ? Ça m’écœure. Je me bâts depuis des années pour sortir de ma dépression, j’ai pratiquement pas de thune. Tu me vois ouvrir une cagnotte ? Mais merde vous êtes connus, débrouillez vous.",Mon Oct 20 13:34:48 +0000 2025,❯❯❯❯,Wed Aug 28 11:40:51 +0000 2019,158,175
177,MonaRodriguezzz,Post vacation depression,Mon Oct 20 13:34:47 +0000 2025,Ms Rodriguez,Sat Aug 24 23:25:43 +0000 2019,367,305
178,kindormad,@Baby_Princess_L Est ce que j’ai dit ça même? J’étais certainement pré disposé génétiquement + des problèmes aussi dans ma vie qui ont fait que je suis tombé en dépression. J’ai dit que le fait qu’elle m’ait tiré vers la bas avait juste fait qu’accélérer la venue de cette depression,Mon Oct 20 13:34:33 +0000 2025,Abe 🍉,Thu May 08 20:41:43 +0000 2014,671,560
179,laTrompette_fr,"Donner des médicaments aux personnes souffrant de dépression ne résout pas leurs problèmes.

https://t.co/kI71tWpJHt",Mon Oct 20 13:34:24 +0000 2025,laTrompette.fr,Mon Aug 15 08:31:08 +0000 2016,492,162
